"","Top 10 Gross","%± LW...2","Overall Gross","%± LW...4","Releases","#1 Release","Genre","Budget","Running Time","Week","Long Weekend","Year"
"216","$157,482,640","-6.9%","$177,462,412","-3.9%",106,"The Bourne Ultimatum","-","-","-",31,"false",2007
"217","$169,137,597","+17.4%","$184,568,929","+18.6%",113,"The Simpsons Movie","-","-","-",30,"false",2007
"218","$144,104,368","-14.6%","$155,592,597","-14.1%",111,"I Now Pronounce You Chuck & Larry","-","-","-",29,"false",2007
"219","$168,833,476","+5.5%","$181,217,612","+4.1%",121,"Harry Potter and the Order of the Phoenix","-","-","-",28,"false",2007
"220","$160,065,416","+13%","$174,001,621","+11.9%",107,"Transformers","-","-","-",27,"false",2007
"221","$141,710,943","+16.2%","$155,438,401","+18.1%",108,"Ratatouille","-","-","-",26,"false",2007
"222","$121,972,345","-11.5%","$131,579,486","-9.5%",124,"Evan Almighty","-","-","-",25,"false",2007
"223","$137,781,216","+6.5%","$145,423,976","+7.1%",126,"Fantastic Four: Rise of the Silver Surfer","-","-","-",24,"false",2007
"224","$129,422,051","+1.5%","$135,804,030","+0.8%",128,"Ocean's Thirteen","-","-","-",23,"false",2007
"225","$127,496,396","-35.4%","$134,750,222","-34.6%",117,"Pirates of the Caribbean: At World's End","-","-","-",22,"false",2007
"226","$244,300,251","+6.2%","$255,591,705","+5.6%",117,"Pirates of the Caribbean: At World's End","-","-","-",21,"true",2007
"227","$197,493,249","+15.2%","$205,905,629","+13.1%",105,"Pirates of the Caribbean: At World's End","-","-","-",21,"false",2007
"228","$171,457,637","+83.7%","$181,999,108","+71.2%",127,"Shrek the Third","-","-","-",20,"false",2007
"229","$93,311,787","-47.6%","$106,297,940","-43.9%",129,"Spider-Man 3","-","-","-",19,"false",2007
"230","$178,072,412","+211.8%","$189,411,053","+143%",129,"Spider-Man 3","-","-","-",18,"false",2007
"231","$57,110,548","-17.3%","$77,936,969","-12.1%",128,"Disturbia","-","-","-",17,"false",2007
"232","$69,094,827","-24.7%","$88,630,700","-25.4%",126,"Disturbia","-","-","-",16,"false",2007
"233","$91,708,525","-12.4%","$118,823,289","-4.4%",119,"Disturbia","-","-","-",15,"false",2007
"234","$118,487,192","-1.5%","$138,523,536","+4.9%",52,"Blades of Glory","-","-","-",14,"true",2007
"235","$104,656,515","-7.4%","$124,296,706","-2.4%",123,"Blades of Glory","-","-","-",14,"false",2007
"236","$113,066,760","-2.8%","$127,387,634","-6.2%",112,"Blades of Glory","-","-","-",13,"false",2007
"237","$116,375,315","+15.6%","$135,737,194","+15.4%",126,"TMNT","-","-","-",12,"false",2007
"238","$100,707,696","-25.9%","$117,624,773","-23%",119,"300","-","-","-",11,"false",2007
"239","$135,961,063","+31.2%","$152,783,904","+22.5%",112,"300","-","-","-",10,"false",2007
"240","$103,593,442","+7%","$124,707,324","+5.7%",112,"Wild Hogs","-","-","-",9,"false",2007
"241","$96,852,706","-29.8%","$118,011,674","-25.4%",107,"Ghost Rider","-","-","-",8,"false",2007
"242","$163,208,842","+27.4%","$188,624,817","+20.2%",102,"Ghost Rider","-","-","-",7,"true",2007
